id	name	bpm	artist	duration_ms	external_url
0qYRSPzGQM274CesdC1VSK	Don't Meddle In My Mood	0.0	Michael Gamble & The Rhythm Serenaders	195000	https://open.spotify.com/track/0qYRSPzGQM274CesdC1VSK
5LQNgB0YDgKosXPUC9IpV2	Cry Me a River	73.83	Anat Cohen	333506	https://open.spotify.com/track/5LQNgB0YDgKosXPUC9IpV2
6etqmcGxjIR7A33FywhSiI	WEST END BLUES	80.75	Frankie Laine	160250	https://open.spotify.com/track/6etqmcGxjIR7A33FywhSiI
7hqudcHQ5fULbiEXOuHo2P	If I Had You	68.00	Willie Nelson	261706	https://open.spotify.com/track/7hqudcHQ5fULbiEXOuHo2P
5Fd9M8n3supKGEbkHBZ5hg	J'Attendrai	112.35	Alan Silvestri	179146	https://open.spotify.com/track/5Fd9M8n3supKGEbkHBZ5hg
4wKBgfRjc3KRfb2iC7sfb9	Black And Blue	89.10	Sidney Bechet	216826	https://open.spotify.com/track/4wKBgfRjc3KRfb2iC7sfb9
4HD0Q7qcufONpK1vUSnbxp	Please Love Me	66.26	The Speakeasies' Swing Band!	331293	https://open.spotify.com/track/4HD0Q7qcufONpK1vUSnbxp
4GZ144K0pDNhTFFFscfvTc	Song of the Wanderer	78.30	Kid Ory	594253	https://open.spotify.com/track/4GZ144K0pDNhTFFFscfvTc
7AuERlwLO91OX3Ox2yNKBD	Just One More Chance (with Bucky Pizzarelli)	0.0	Alex Pangman	186146	https://open.spotify.com/track/7AuERlwLO91OX3Ox2yNKBD
27kmBYFXViSgPCa7tZXXmI	We Can't Go On This Way	112.35	Miss Sophie Lee	233813	https://open.spotify.com/track/27kmBYFXViSgPCa7tZXXmI
1dYNNcJlxnzx5HSur9cMYO	Dirt Dishin' Daisy	99.38	Midnight Serenaders	304506	https://open.spotify.com/track/1dYNNcJlxnzx5HSur9cMYO
1mXWuwKwPqAuFDwZxfoxrI	Nuages	0.0	Django Reinhardt	186586	https://open.spotify.com/track/1mXWuwKwPqAuFDwZxfoxrI
4BB6RXDwfbsIQZVRohSjsU	Où Es Tu Mon Amour	83.35	Charlie Haden Quartet West	403733	https://open.spotify.com/track/4BB6RXDwfbsIQZVRohSjsU
