id	name	bpm	artist	duration_ms	external_url	
7dv2WwVT51Sl4KcheNxwV3	The Beaver Bump	153	The Glenn Crytzer Orchestra	215173	https://open.spotify.com/track/7dv2WwVT51Sl4KcheNxwV3	
5RJAleKDkkOtPKWhMO8hkB	How Big Can You Get	155	Cab Calloway	241373	https://open.spotify.com/track/5RJAleKDkkOtPKWhMO8hkB	
3HxBZaIpYYN5088mDyPANr	Streamliner	156	Bill Elliott	229826	https://open.spotify.com/track/3HxBZaIpYYN5088mDyPANr	
2CyonacxmjOi2Ciwflwopd	Miss Brown To You	158	Teddy Wilson And His Orchestra With Billie Holliday	182959	https://open.spotify.com/track/2CyonacxmjOi2Ciwflwopd	
4LH64GuJOFIH75nT1G24t2	How Could You?	161.5	Billie Holiday With Teddy Wilson & His Orchestra	149066	https://open.spotify.com/track/4LH64GuJOFIH75nT1G24t2	
2UAoyTSnK6A8V5dX7zRtXL	Soft	161.5	Tiny Bradshaw	153573	https://open.spotify.com/track/2UAoyTSnK6A8V5dX7zRtXL	
4UKUliqn35vjGFncKlB9kT	Love in My Heart (Swing Baby Swing)	161.5	Duke Ellington	156106	https://open.spotify.com/track/4UKUliqn35vjGFncKlB9kT	
6iSt2cHurhgNhlrVoeOzzt	Mr. Ghost Goes to Town	161.5	Roy Eldridge	173293	https://open.spotify.com/track/6iSt2cHurhgNhlrVoeOzzt	
2CyonacxmjOi2Ciwflwopd	Miss Brown To You	162.5	Teddy Wilson And His Orchestra With Billie Holliday	182959	https://open.spotify.com/track/2CyonacxmjOi2Ciwflwopd	
5oe0h2D3vi8wHP08sxy1X7	Ochi Chornya	164	Wingy Manone	174466	https://open.spotify.com/track/5oe0h2D3vi8wHP08sxy1X7	
6EdLHkyqgZlIUwej4533zs	A Mellow Bit of Rhythm	164	Mary Lou Williams	199800	https://open.spotify.com/track/6EdLHkyqgZlIUwej4533zs	
1WRVBCQddJn04JCHaDIuwP	If Dreams Come True	166	Billie Holiday	184625	https://open.spotify.com/track/1WRVBCQddJn04JCHaDIuwP	
34y7O5y9aOKqHq6Qwh4kFb	Just a Simple Melody	171	Chick Webb	177472	https://open.spotify.com/track/34y7O5y9aOKqHq6Qwh4kFb	
0irr37TKHqpGSB0Ys8Q3rJ	Woodchopper's Ball	172	Woody Herman & His Orchestra	194026	https://open.spotify.com/track/0irr37TKHqpGSB0Ys8Q3rJ	
4CZ4jN6NzOoKlBKBBDacnv	32 Bar Riff Instrumental - 176 BPM	172.27	Dean Mora's Modern Swingtet with Rusty Frank	213800	https://open.spotify.com/track/4CZ4jN6NzOoKlBKBBDacnv	
3P9SfQV2owACQ7wY5B664y	Long Tall Mama	172.27	Hep Chaps	181506	https://open.spotify.com/track/3P9SfQV2owACQ7wY5B664y	
0MINYztCqATONqVxA2rpSm	Hollywood Pastime	172.27	Larry Clinton	187533	https://open.spotify.com/track/0MINYztCqATONqVxA2rpSm	
3kvKuW8SD7e0wsoXcLubFZ	Cherokee	172.27	Charlie Barnet & His Orchestra	198666	https://open.spotify.com/track/3kvKuW8SD7e0wsoXcLubFZ	
5YYFEGDTLpT86sj6iUAIKF	Long Tall Mama	172.5	Glenn Miller	182991	https://open.spotify.com/track/5YYFEGDTLpT86sj6iUAIKF	
3yL1FieHmsmDOh136cNw52	Woodchopper's Ball	174	Woody Herman & His Orchestra	194026	https://open.spotify.com/track/3yL1FieHmsmDOh136cNw52	
6pBEqhRQ2oVU4rLE6U4FCe	Swing, Brother, Swing	175	Rebecca Kilgore	160226	https://open.spotify.com/track/6pBEqhRQ2oVU4rLE6U4FCe	
7KxDvZyanZhnzPtNW4bWIq	Wild man blues - Remastered	175	Johnny Dodds	192604	https://open.spotify.com/track/7KxDvZyanZhnzPtNW4bWIq	
